"","datetime","city","country","shape"
"52547",1983-06-01,"phoenix (bartlette lake)","us","disk"
"66876",2008-07-27,"lexington","us","sphere"
"38872",2008-03-06,"altoona","us","unknown"
"49663",2007-05-28,"sacramento","us","changing"
"31960",2000-02-27,"bloomington","us","cigar"
"4788",2010-10-24,"huntersville","us","circle"
"4844",2013-10-24,"pasadena","us","fireball"
"39836",2009-04-11,"bismarck","us","disk"
"44037",2006-04-29,"warren","us","disk"
"85086",2004-09-22,"milton","us","unknown"
"73268",2012-08-14,"stillwater","us","other"
"80310",2013-08-08,"astoria","us","light"
"32436",2012-02-03,"marshall","us","light"
"79226",1982-08-05,"rome","us","cigar"
"51729",2008-06-10,"harrisonburg","us","unknown"
"79413",2011-08-05,"long beach","us","light"
"42309",2003-04-21,"phoenix","us","other"
"59679",2006-06-05,"fresno","us","triangle"
"61386",NA,"johnstown","us","triangle"
"23633",2000-12-30,"san francisco","us","triangle"
"40933",1996-04-15,"los angeles","us","other"
"70041",2003-07-06,"lewisville","us","cylinder"
"75718",2004-08-21,"tinley park","us","formation"
"23015",2011-12-26,"seattle","us","fireball"
"66447",2011-07-25,"broomfield","us","unknown"
"76689",2002-08-24,"tijuana (mexico)","","disk"
"33190",2002-02-08,"wierden (netherlands)","","light"
"17631",1977-01-18,"fall river/north tiverton","","oval"
"34339",2008-03-12,"lake elmo","us","unknown"
"32517",2002-02-04,"loveland","us","triangle"
"7296",2013-10-05,"bruceville","us","triangle"
"46691",2009-05-13,"vero","","other"
"34948",1984-03-15,"griffin","us","circle"
"84880",2008-09-02,"myrtle beach","","circle"
"83700",2010-09-18,"brampton (canada)","ca","cylinder"
"2105",1996-10-15,"san mateo","us","light"
"26715",2008-01-30,"myrtle beach","us","sphere"
"54689",2002-06-15,"clearwater","us","sphere"
"70543",2010-07-07,"culver","us","cylinder"
"4627",2013-10-23,"wlimington","","chevron"
"56716",2008-06-22,"hampton","us","circle"
"62503",2000-07-14,"pasquag","","circle"
"84244",2003-09-20,"hickory","us","circle"
"15765",2012-11-03,"studio city","us","disk"
"53473",2012-06-12,"los angeles","us","fireball"
"47230",2005-05-15,"lodge","us","formation"
"15909",2001-11-04,"auckland (new zealand)","","light"
"54178",1975-06-15,"burna","us","light"
"64029",2006-07-17,"canton","us","light"
"21077",2012-12-19,"pontiac","us","other"
"45856",2001-05-11,"washington&#44 d.c.","","oval"
"16178",2013-11-04,"new albany","us","rectangle"
"69054",2010-07-04,"battle creek","us","teardrop"
"5894",2008-10-29,"salisbury","us","triangle"
"36945",1998-03-24,"tempe","us","triangle"
"41072",2005-04-15,"littleton","us","triangle"
"39754",1999-04-11,"launceston (tas&#44 australia)","au","cross"
"84261",2004-09-20,"southern pines","us","flash"
"60541",2001-06-09,"","",""
"34989",1995-03-15,"danbury  (near; carmel vor)","us","chevron"
"38090",1966-03-31,"dearborn","us","chevron"
"39477",2012-03-09,"bloomington","us","chevron"
"28486",1997-02-11,"phoenix","us","cigar"
"18485",1995-01-20,"west bend","","circle"
"63571",2009-07-15,"benton","us","cylinder"
"2086",1994-10-15,"angola","us","disk"
"55301",2008-06-17,"mesquite","us","disk"
"54973",2013-06-15,"spokane","us","fireball"
"86792",2005-09-29,"miami","us","fireball"
"86025",1998-09-26,"roslyn","us","formation"
"615",1984-10-01,"chatsworth","us","light"
"10144",2005-11-14,"brownsville","us","light"
"25116",2006-12-05,"sonoma","us","light"
"82052",2002-09-13,"shah alam (malaysia)","","light"
"83186",2006-09-16,"tinley park area (west of)","","light"
"24325",2004-12-03,"york","us","other"
"5931",2010-10-29,"duluth","us","triangle"
"61437",1982-07-01,"monticello","us","unknown"
"77547",2007-08-27,"sedona","us","chevron"
"42971",2010-04-23,"yorba linda","us","cigar"
"63600",2011-07-15,"easton","us","circle"
"37504",2010-03-27,"valencia","us","cylinder"
"33843",2008-03-11,"annandale","us","fireball"
"73741",1999-08-15,"rawlins (39 miles west of)","us","fireball"
"8872",2010-11-11,"myrtle beach","us","light"
"35289",2014-03-15,"vancouver","us","light"
"60624",2009-06-09,"mckinney","us","oval"
"10226",2012-11-14,"cape coral","us","sphere"
"976",2008-10-01,"kingsport","us","triangle"
"4501",2007-10-23,"medford","us","unknown"
"87264",2001-09-03,"taif (30 km west from) (saudi arabia)","","unknown"
"1299",2013-10-12,"strongsville","us","triangle"
"42475",NA,"dont know","",""
"2428",2010-10-15,"raeford","us","changing"
"29585",2000-02-15,"peru","","changing"
"55133",2012-06-16,"hemet","us","changing"
"10573",2006-11-15,"hyde park","us","chevron"
"30612",2008-02-20,"puyallup","us","chevron"
"45784",2009-05-10,"san antonio","us","chevron"
"78197",2003-08-30,"san benito","us","chevron"
"58826",1995-06-30,"gold point","us","cigar"
"62340",2010-07-13,"devils lake","us","cylinder"
"1993",1982-10-15,"north hudson","us","disk"
"32100",1990-02-28,"san clemente","us","disk"
"80743",2009-09-10,"mesa (nne of)","us","disk"
"59737",2010-06-05,"sydney (australia)","au","egg"
"6882",1998-10-04,"yamhill","us","fireball"
"27631",2011-01-06,"edinburg","us","fireball"
"32057",2012-02-27,"leavenworth","us","fireball"
"80279",2012-08-08,"philipsburg","us","fireball"
"53290",1960-06-12,"great falls","us","formation"
"1851",2013-10-14,"oakland","us","light"
"29273",1999-02-14,"youngstown","us","light"
"36736",2013-03-22,"toms river","us","light"
"49113",2004-05-25,"west palm beach","us","light"
"71095",1958-08-10,"bellevue","us","light"
"21450",2011-12-20,"san diego","us","other"
"53224",2011-06-01,"highland village","us","other"
"26299",2014-01-28,"oak creek","","oval"
"42558",2008-04-02,"louisville","us","sphere"
"5379",2004-10-27,"tampa","us","triangle"
"8511",2003-11-10,"portsmouth","us","triangle"
"17103",2010-11-06,"sedona","","triangle"
"75287",1993-08-20,"goshen","us","triangle"
"45326",2008-04-08,"abingdon","us","unknown"
"82354",2008-09-14,"hemet","us","unknown"
"58863",1998-06-30,"rome","us","sphere"
"55965",1999-06-20,"laramie (25 miles north of)","us",""
"43588",1991-04-27,"sacramento","us","changing"
"7658",2008-10-07,"williamsburg","us","circle"
"51835",1998-06-11,"palm springs","us","circle"
"32280",2004-02-29,"bristol","us","disk"
"80590",1998-09-10,"mannering park (nsw&#44 australia)","au","disk"
"37581",1999-03-28,"harvey&#39s lake","","light"
"63294",2001-07-15,"carteret","us","light"
"63296",2001-07-15,"jersey city","us","light"
"17943",2010-01-18,"mullica hill","us","other"
"25557",2011-12-06,"flat lick","us","oval"
"3630",2008-10-20,"greenfield","us","unknown"
"19718",2012-12-12,"charleroi","us","unknown"
"32747",NA,"stephenville","us","unknown"
"61825",2012-07-01,"denver","us","disk"
"62181",2000-07-13,"gilbert","us","diamond"
"81220",1979-09-01,"rockford","us","formation"
"76673",2001-08-24,"burnaby (canada)","ca","oval"
"28014",2007-01-08,"black canyon city (near)","us","triangle"
"15323",2005-11-30,"wanamassa","us","fireball"
"72479",2004-08-12,"barnegat light","us","other"
"9480",2012-11-01,"oneonta","us","triangle"
"27020",2007-01-03,"chattanooga","us","unknown"
"67291",2002-07-29,"sayward (canada)","ca",""
"38831",2005-03-06,"dunnville&#44 ontario (canada)","","light"
"3483",1999-10-20,"kingston","us","light"
"68179",2010-07-03,"berwyn","us","circle"
"61729",2008-07-01,"smithfield","us","egg"
"73552",1987-08-15,"olancha","us","disk"
"6242",1986-10-31,"riverdale","us","other"
"75127",2008-08-19,"trabuco canyon","us","oval"
"3419",1973-10-20,"carthage","us","fireball"
"13573",1964-11-22,"memphis","us","circle"
"39482",2013-03-09,"coeur d&#39alene","us","light"
"44678",1995-04-05,"rio grande (puerto rico)","us","unknown"
"46662",2006-05-13,"lewisville","us","circle"
"26015",2000-01-28,"east rutherford/secaucus","","triangle"
