"","datetime","city","country","shape"
"12119",2000-01-01,"clovis","us","light"
"13176",1997-01-12,"billings","us","light"
"14097",2005-11-24,"dover","us","light"
"32793",2013-02-05,"venice","us","light"
"51499",2011-05-09,"massey (canada)","ca","light"
"63191",1997-07-15,"bensrun","","light"
"77718",2000-08-28,"bracknell (uk/england)","gb","light"
"66374",2008-07-25,"elizabeth","us","other"
"68740",2007-07-04,"spring valley","us","other"
"85314",1974-09-23,"spanaway","us","other"
"9665",2007-11-12,"shannon (new zealand)","","oval"
"49300",2006-05-26,"arbroath (uk/scotland)","gb","rectangle"
"2897",2011-10-17,"cocoa beach","us","sphere"
"2928",2012-10-17,"norman","us","sphere"
"56014",2004-06-20,"gumeracha (south australia)","au","sphere"
"66188",2013-07-24,"eaton","us","sphere"
"55047",2005-06-16,"blue mound","us","triangle"
"50833",2013-05-05,"corralitos","us","unknown"
"84997",1967-09-22,"albuquerque","us","unknown"
"86238",2013-09-26,"alameda","us","unknown"
"88147",1958-09-07,"arthur","us","unknown"
"88494",2008-09-08,"englewood","us","unknown"
"1306",2013-10-12,"albuquerque","us","light"
"11552",2005-11-18,"san diego","us","triangle"
"9375",2009-11-01,"merrillville","us","disk"
"71192",1999-08-10,"gwinnett","","light"
"71220",2001-08-10,"cape cod","","light"
"71121",1977-08-10,"hazard","us","light"
"59660",2004-06-05,"ottawa (canada)","ca","fireball"
"18900",2013-12-10,"abbeville","us","light"
"30742",2005-02-21,"phoenix","us","light"
"44215",2004-04-30,"seattle","us","cylinder"
"49181",2010-05-25,"quakertown","us","cigar"
"23885",2006-12-31,"holtville","us","circle"
"51615",2000-06-10,"polk city","us","circle"
"77375",2011-08-26,"toronto (canada)","ca","fireball"
"88588",2012-09-08,"lebanon","us","flash"
"4534",2010-10-23,"eureka","us","light"
"4539",2010-10-23,"glendale","us","light"
"46272",2009-05-01,"albuquerque (near)","us","light"
"69495",2013-07-04,"denver","us","light"
"39",1984-10-10,"traverse city","us","other"
"84572",2007-09-21,"huntington beach","us","other"
"9094",2000-01-11,"westchester","us","triangle"
"14240",1989-11-25,"theresa","us","triangle"
"22013",2004-12-22,"palma de mallorca (spain)","",""
"40234",1995-04-12,"richmond","us",""
"65608",2006-07-22,"manchester","",""
"82478",2013-09-14,"seattle","us",""
"87288",2003-09-03,"slavonski brod (croatia)","","cigar"
"7252",2011-10-05,"lake elsinore","us","circle"
"27105",2012-01-03,"clemmons","us","circle"
"84756",2000-09-02,"tempe","us","circle"
"40337",2009-04-12,"arcadia","us","cylinder"
"70152",2011-07-06,"fayetteville","us","diamond"
"13157",1978-01-12,"grand rapids","us","disk"
"31308",2001-02-23,"fillmore","us","disk"
"88418",2002-09-08,"abilene","us","disk"
"31751",2013-02-25,"mckinney","us","egg"
"14944",2008-11-28,"malibu","us","flash"
"1492",2009-10-13,"boston","us","light"
"44524",2000-04-04,"bouse","us","light"
"61845",2012-07-01,"taylor","us","light"
"70254",2013-07-06,"hopedale","us","light"
"71545",2002-08-11,"marblemount","us","light"
"26714",2008-01-30,"cape coral","us","oval"
"53393",2006-06-12,"waterloo (canada)","ca","sphere"
"57075",2012-06-23,"duluth","us","sphere"
"84681",2013-09-21,"somerville","us","sphere"
"18923",1997-12-11,"kinaid","","triangle"
"79489",1997-08-06,"aguila","us","triangle"
"37190",2008-03-25,"freer","us","unknown"
"78861",2010-08-03,"royal palm beach","us","unknown"
"73822",2002-08-15,"new york city (bronx)","us","circle"
"67875",2008-07-31,"la farge","us",""
"57256",2008-06-24,"silver city","us","other"
"12028",1988-01-01,"roselle","us","triangle"
"78349",2011-08-30,"felt","us","triangle"
"75765",2005-08-21,"waukegan","us","flash"
"63864",2011-07-16,"orlando (outside of; on 14)","us","circle"
"59812",1968-06-06,"duluth","us","disk"
"57171",2001-06-24,"derby (uk/england)","gb","chevron"
"88158",1996-09-07,"west manchester","us","triangle"
"49051",2013-05-24,"capitol heights","us","formation"
"86133",2007-09-26,"richland","us","oval"
"81387",NA,"batesville","us",""
"25111",2006-01-25,"uk/england","","changing"
"12759",1996-11-20,"parma (??)","us","circle"
"64596",2009-07-19,"margate","","diamond"
"12482",2012-01-01,"marietta","us","light"
"86150",2009-09-26,"corona","us","other"
"4388",2013-10-22,"kaneohe","us","oval"
"11622",2010-11-18,"kalamazoo","us","light"
"18360",2012-01-19,"rockford","us","oval"
"88225",NA,"portsmouth","us","changing"
"36787",2000-03-23,"somerset","us","other"
"6943",2003-10-04,"murray","us","changing"
"29611",2003-02-15,"benicia","us","fireball"
"73085",2001-08-14,"euclid","us","light"
"18674",2014-01-20,"el cajon","us","other"
"39720",2014-04-10,"kingstree","us","triangle"
"48419",2012-05-21,"edmonds","us","fireball"
"59979",2007-06-06,"gulf shores","us","changing"
"122",2002-10-10,"adelaide (pt. wakefield) (south australia)","au","circle"
"33462",2012-02-09,"tucson","us","circle"
"11076",2011-11-16,"cedar city","us","formation"
"64034",2006-07-17,"kettleman city/coalinga (between)","","triangle"
"78784",2004-08-03,"cape may","us","disk"
"78819",2008-08-03,"sioux city","us","disk"
"5843",2005-10-29,"surprise","us","fireball"
"72218",2009-08-01,"harrington","us","rectangle"
"23475",2003-12-29,"monroe","us","light"
"4382",2013-10-22,"weiser","us","light"
"25631",2013-12-06,"kingston","us","light"
"39549",1995-04-10,"yarldey","","other"
"7393",2004-10-06,"comstock","us","disk"
"19827",2004-12-13,"dulce","us","disk"
"88192",1999-09-07,"restoule (canada)","","light"
"73913",2005-08-15,"fort worth","us","other"
"38255",2014-03-31,"apopka","us","sphere"
"77871",2011-08-28,"nissequogue","us","sphere"
"5299",2013-10-26,"brunswick","us","triangle"
"35336",2002-03-16,"rolfe","us","unknown"
"46673",2007-05-13,"new york city (queens)","us","unknown"
"80879",1999-09-11,"spokane","us","changing"
"55136",2012-06-16,"lodi","us","fireball"
"5222",2007-10-26,"waukesha","us","light"
"17003",2007-01-16,"colchester","us","light"
"28293",2014-01-09,"san pedro","us","sphere"
"85148",2006-09-22,"brick","","triangle"
"6455",2005-10-31,"charlottesville","us","other"
"88279",2008-09-07,"brisbane (australia)","au","rectangle"
"68340",2013-07-03,"myrtle beach","us","fireball"
"60353",2003-06-08,"oakley","us","light"
"69549",2013-07-04,"la crosse","us","other"
"58044",2000-06-28,"sherwood park (canada)","ca","circle"
"85202",2009-09-22,"charlotte","us","light"
"18600",2008-01-20,"adjuntas&#44 (puerto rico)","","other"
"29330",2004-02-14,"vernon (canada)","ca","other"
"66872",2008-07-27,"eagle point","us","unknown"
"29978",2014-02-16,"lantana","us","other"
"27951",1999-01-08,"chico","us",""
"58274",2004-06-29,"bolivar","us","disk"
"17187",2013-11-06,"dothan","us","circle"
"22581",2013-12-24,"caldwell","us","circle"
"71097",1960-08-10,"belmont","us","circle"
"38175",2007-03-31,"gerry/ellington","","disk"
"58523",1966-06-30,"new mexico","","disk"
"72531",2006-08-12,"dipolog city (philippines)","","disk"
"4145",2013-10-02,"middletown","us","fireball"
"61840",2012-07-01,"west valley city","","fireball"
"3416",1968-10-20,"fleetwood (uk/england)","gb","formation"
"32707",2005-02-05,"whitehorse (canada)","ca","light"
"57538",2009-06-25,"pittsfield","us","other"
"88475",2006-09-08,"berwick","us","oval"
"36310",2005-03-21,"cook county","us","triangle"
"47538",2001-05-17,"fair oaks","us","triangle"
"48854",2008-05-23,"roanoke","us","triangle"
"54827",2006-06-15,"elma (canada)","ca","triangle"
"63182",1997-07-15,"reedsville","us","triangle"
"67677",2011-07-30,"cassadaga","us","fireball"
"59258",1995-06-03,"goldsboro","us",""
"85013",1995-09-22,"virginia beach","us",""
"22068",2011-12-22,"baltimore","us","cigar"
"48551",2013-05-02,"littleton","us","circle"
"75097",2007-08-19,"warner","us","cross"
"58662",1977-06-30,"newmarket (canada)","ca","disk"
"68011",1996-07-03,"beach","us","disk"
"68027",2000-07-03,"kewaunee","us","disk"
"40562",2013-04-13,"wilbraham","us","fireball"
"43515",2010-04-26,"laguna hills","us","fireball"
"81955",2012-09-12,"compton","us","fireball"
"23223",2013-12-27,"calabash","us","formation"
"23309",2006-12-28,"michigan (southeast portion) (in-flight sighting)","","light"
"32685",2003-02-05,"tucson","us","light"
"60595",2006-06-09,"brighton (uk/england)","gb","light"
"60932",2010-07-10,"west milford","us","light"
"78346",2011-08-30,"boise","us","light"
"80285",2012-08-08,"calgary (canada)","ca","light"
"57834",1971-06-27,"sunnyvale","us","other"
"17708",2003-11-08,"west central","us","oval"
"20165",1966-12-15,"valley forge","us","sphere"
"25676",2000-12-07,"hollywood","us","sphere"
"47175",2003-05-15,"mansfield (uk/england)","gb","sphere"
"84891",2009-09-02,"westfield","us","sphere"
"2695",2012-10-16,"burlington","us","triangle"
"17768",2004-11-08,"kansas city","us","triangle"
"81474",2004-09-01,"constanta (romania)","","triangle"
"1319",2013-10-12,"springboro","us","unknown"
"32227",2012-02-28,"werribee (victoria) (australia)","au","rectangle"
"79109",2009-08-04,"mccalla","us","changing"
"49155",2008-05-25,"milwaukee","us","circle"
"58063",2003-06-28,"orlando","us","circle"
"59706",2008-06-05,"charlotte","us","circle"
"64609",2010-07-19,"kirkland","us","circle"
"73414",1974-08-15,"pullman/allegan","","circle"
"85467",2008-09-23,"quesnel (canada)","ca","circle"
"54727",2003-06-15,"lahaina","us","cone"
"78899",2012-08-03,"binghamton","us","fireball"
"57572",2011-06-25,"bristol","us","light"
"75185",2012-08-19,"carefree","us","light"
"75657",2000-08-21,"seattle","us","light"
"84352",2009-09-20,"wantagh","us","light"
"78593",2009-08-31,"franklin","us","sphere"
"7021",2010-10-04,"franklin","us","triangle"
"7025",2011-10-04,"lee&#39s summit","","triangle"
"56618",1995-06-22,"amarillo","us","triangle"
"22766",2010-12-25,"lynn","us","unknown"
"53826",2008-06-14,"kemah","us","unknown"
"64081",2009-07-17,"edmonton (canada)","ca","unknown"
"69838",2008-07-05,"burton","us","fireball"
"18029",2012-11-08,"germantown","us","triangle"
"60806",2001-07-10,"fresno","us","unknown"
"977",2009-10-01,"grafton","","light"
"43431",2001-04-26,"london (uk/england)","gb","oval"
"7330",1995-10-06,"puyallup","us",""
"18959",2003-12-11,"belzoni","us","light"
"86988",2000-09-30,"canoga park","us","sphere"
"137",2003-10-10,"bickerton (near wetherby) (uk/england)","","unknown"
"48049",1997-05-20,"louisville","us","circle"
"86750",2002-09-29,"kingsland","us","triangle"
"69986",1998-07-06,"loomis","us","flash"
"47289",2009-05-15,"osprey","us","unknown"
"15525",2003-11-03,"campbell","us","light"
"16499",2005-11-05,"north las vegas","us","fireball"
"15935",2003-11-04,"rye","us","circle"
"16311",1995-01-15,"morton","us",""
"3030",2003-10-18,"west chester","us","chevron"
"43342",2008-04-25,"fort myers","us","circle"
"15732",2011-01-13,"krum","us","disk"
"44230",2006-04-30,"tigard","us","formation"
"82182",2011-09-13,"scottsbluff","us","light"
"15114",2004-11-29,"wayland","us","sphere"
"3244",2004-10-19,"grand island","us","light"
"69037",2010-07-04,"selma","us","other"
"783",2002-10-01,"port hadlock","us","fireball"
"58409",2013-06-29,"springfield","us","fireball"
"29337",2004-02-14,"san carlos","us","triangle"
"877",2006-10-01,"","",""
"8454",1995-11-10,"eilmsport","",""
"8882",2011-11-11,"fairbanks","us","circle"
"1771",2009-10-14,"syracuse","us","cross"
"24096",2012-12-31,"bozeman","us","fireball"
"24878",2012-12-04,"westboro","us","sphere"
"19335",2006-12-01,"saipan","","triangle"
"61610",2000-07-01,"crystal beach","us","triangle"
"58085",2005-06-28,"australia","","cone"
"15870",1995-11-04,"chelan","us",""
"18339",2011-11-09,"columbia","us","circle"
"47155",2003-05-15,"franconia notch (i-93 southbound)","","diamond"
"55025",2003-06-16,"greeley","us","light"
"6457",2005-10-31,"yonkers","us","other"
"15623",2007-01-13,"lihue","us","unknown"
"44193",2000-04-30,"port washington","us","fireball"
"26131",2006-12-08,"camp pendleton","","other"
"26788",1998-01-31,"arecibo (just s of&#44 rural central pr)","us","disk"
"51990",1945-06-01,"salinas afb","","disk"
"26261",2012-01-28,"port st john","","egg"
"54613",1999-06-15,"sheffield (uk/england)","gb","formation"
"4681",2002-10-24,"rotherham (uk/england)","gb","circle"
"73531",1985-08-15,"garden city","us","circle"
"6297",2000-10-31,"rochester hills","us","fireball"
"76862",2013-08-24,"elmira","us","sphere"
"30382",2007-02-19,"edmonton (canada)","ca","circle"
"2780",2002-10-17,"brighton","us","light"
"27994",2004-01-08,"gozo island (malta)","","unknown"
"47597",2008-05-17,"hillsborough","us","oval"
"66173",2013-07-24,"royal oak","us","light"
"86443",2013-09-27,"berlin heights","us","light"
"74862",2012-08-18,"leclaire","","rectangle"
"19892",2008-12-13,"vinton","us","circle"
"2023",1986-10-15,"fayettville","","diamond"
"57790",2011-06-26,"fort collins","us","light"
"8432",1957-11-10,"northeast cape afs&#44 st lawrence island&#44","","other"
"3394",2013-10-19,"st. paul","us","sphere"
"14200",2012-11-24,"panama city beach","us","sphere"
"304",2013-10-10,"lost creek","us","triangle"
"25772",2006-12-07,"pomona (wolfe lake)","us","triangle"
"16117",2011-11-04,"fulton","us","unknown"
"1946",1975-10-15,"scituate","","circle"
"74423",1997-08-17,"kaiser","us","light"
"65325",2002-07-02,"rivers (canada)","ca","disk"
"80700",2005-09-10,"fairburn","us","circle"
"30818",2013-02-21,"germantown","us","diamond"
"21186",2006-01-02,"harlingen","us","cone"
"12011",1979-01-01,"redondo beach","us","disk"
"80678",2004-09-10,"alpharetta","us","oval"
"78144",1980-08-30,"maquoketa","us","unknown"
"19443",2010-01-21,"saint charles","us","other"
"44156",1943-04-30,"bering sea","","other"
"25192",2010-12-05,"montclair","us","oval"
"8255",2003-01-10,"lockport","us","flash"
"5585",2004-10-28,"sheridan","us","light"
"23001",2009-12-26,"bedford (uk/england)","gb","egg"
"82462",2013-09-14,"collegeville","us","light"
"12522",2012-01-01,"wapato","us","other"
"17736",2003-11-08,"new york city","us","changing"
"30835",2014-02-21,"newark (i-95; near pa border)","us","circle"
"82121",2007-09-13,"keokuk","us",""
"85510",2011-09-23,"indian rocks beach","us","other"
"84012",2009-09-19,"glenside","us","light"
"46208",2004-05-01,"orlando","us","sphere"
"68983",2010-07-04,"north charleston","us","sphere"
"64742",1993-07-20,"honolulu","us","unknown"
"42778",2011-04-22,"hampton (canada)","ca","light"
"15492",2001-11-03,"seattle","us","other"
"35017",1997-03-15,"buena vista","us","oval"
"29963",2012-02-16,"pearson","us","sphere"
"51395",2001-05-09,"moses lake","us","triangle"
"80682",2004-09-10,"london (canada)","ca","triangle"
"25089",2005-12-05,"cheyenne","us","unknown"
"73771",2000-08-15,"dallas","us","cigar"
"10868",1999-11-16,"west chester","us","fireball"
"70817",2012-07-08,"kalispell","us","diamond"
"76275",2006-08-22,"henderson county","us","diamond"
"5478",2012-10-27,"el jebel","us","fireball"
"69157",2011-07-04,"bryant","us","fireball"
"50765",2011-05-05,"myrtle beach","us","formation"
"2261",2002-10-15,"san clemente","us","triangle"
"5031",2010-10-25,"new york city (brooklyn)","us","light"
"20610",2011-12-16,"manhattan","us","light"
"5915",2010-10-29,"edmonds","us","other"
"38843",2006-03-06,"avery","us","triangle"
"49898",2012-05-29,"ohatchee","us",""
"43785",1996-04-28,"holopaw","us","changing"
"73208",2009-08-14,"spain","","changing"
"16925",2003-11-06,"reno","us","circle"
"25747",2004-01-27,"ogunquit","us","circle"
"39651",2009-04-10,"everett","us","circle"
"51526",1964-06-10,"chicago","us","circle"
"58268",2003-06-29,"lake aloha","","circle"
"80010",2013-08-07,"seattle","us","circle"
"80020",1967-08-08,"babylon","us","circle"
"246",2010-10-10,"kykotsmovi","us","disk"
"45151",2008-04-07,"nj turnpike (exit 3)","","disk"
"60493",2013-06-08,"wyomissing","us","egg"
"28103",2012-01-08,"sacramento","us","fireball"
"82207",2013-09-13,"livonia","us","fireball"
"37163",2006-03-25,"prairie grove","us","flash"
"1850",2013-10-14,"seaside","us","light"
"15308",2003-11-30,"union","us","light"
"39865",2012-04-11,"elkridge","us","light"
"50286",2003-05-03,"madisonville","us","light"
"51362",2013-05-08,"upper lake","us","light"
"66693",2012-07-26,"bryant","us","light"
"8386",2012-01-10,"pittsburgh","us","other"
"17731",2003-11-08,"holtsville","us","other"
"35977",2011-03-19,"boise","us","oval"
"66492",2013-07-25,"pensacola","us","sphere"
"3428",1978-10-20,"west seneca","","triangle"
"32822",1997-02-06,"mesa","us","triangle"
"68990",2010-07-04,"springfield","us","triangle"
"34803",2007-03-14,"adelanto","us","unknown"
"61662",2002-07-01,"kilkenny (republic of ireland)","","unknown"
"6977",2006-10-04,"omaha","us","flash"
"66383",2009-07-25,"westland","us","unknown"
"61241",2012-07-11,"archdale","us","fireball"
"41098",2007-04-15,"limassol (cyprus)","","triangle"
"51961",2012-06-11,"hot springs","us",""
"15887",1999-01-14,"lake wales","us","fireball"
"47772",2010-05-18,"portland","us","diamond"
"10544",2005-11-15,"fordsville","us","light"
"67925",2010-07-31,"stanmore&#44 winchester (uk/england)","","light"
"87893",2011-09-05,"juxtlahuaca (mexico)","","oval"
"60594",2006-06-09,"kernersville","us","sphere"
"87847",2009-09-05,"newark","us","triangle"
"19643",2006-12-12,"ashgrove","","unknown"
"3553",2004-10-20,"new rochelle","us","disk"
"84676",2012-09-21,"pwllheli (uk/wales)","gb","other"
"35063",2001-03-15,"seattle","us",""
"63537",2008-07-15,"bedford","us","flash"
"6081",2005-10-30,"perris","us","other"
"66147",2011-07-24,"colonie","us","oval"
"83309",1999-09-17,"boring","us","circle"
"51798",1953-06-11,"vancouver (canada)","ca","disk"
"41468",2000-04-17,"sultan (approx 5 mi. se)","us","light"
"59264",1999-06-03,"hillsboro","us","triangle"
"40568",2013-04-13,"winona","us","fireball"
"8964",1973-11-01,"huntington","us",""
"28074",2011-01-08,"cape coral","us","changing"
"48136",2005-05-20,"san diego","us","circle"
"58674",1978-06-30,"hollister","us","disk"
"49368",2012-05-26,"south lake tahoe","us","fireball"
"1107",1998-10-12,"asheville","us","light"
"31092",2000-02-22,"ogden","us","light"
"32495",2001-02-04,"columbia","us","oval"
"11871",2010-11-19,"massillon","us","triangle"
"44280",2010-04-30,"katonah","","triangle"
"3828",2006-10-21,"reno","us","unknown"
"20639",2013-12-16,"laurel","us","unknown"
"45049",2014-04-06,"pengilly","us","sphere"
"48083",2000-05-20,"yukon (canada)","","circle"
"44952",2007-04-06,"jersey (channel islands) (uk/england)","","cigar"
"31638",1999-02-25,"dayton","us","changing"
"38432",1999-03-04,"fresno","us","cigar"
"48180",2009-05-20,"highgate","","cigar"
"25555",2010-12-06,"renton","us","circle"
"62133",2013-07-12,"duxbury","us","circle"
"74128",2013-08-15,"cedar grove","us","circle"
"83987",2009-09-19,"glens falls","us","circle"
"70958",2005-07-09,"realto (near)","","diamond"
"64574",2008-07-19,"albuquerque","us","disk"
"11834",2008-11-19,"east haven","us","egg"
"75565",2011-08-20,"lenoir city","us","fireball"
"35863",2001-03-19,"tolleson/avondale area","","light"
"61597",1999-07-01,"coso junction","us","light"
"65544",2000-07-22,"pittsburgh","us","light"
"54397",1990-06-15,"springfield","us","oval"
"73183",2008-08-14,"elverta","us","rectangle"
"74968",1999-08-19,"wilmington","us","triangle"
"81886",2009-09-12,"ridgecrest","us","triangle"
"43711",2013-04-27,"prescott","us","fireball"
"66937",2012-07-27,"stevensville","us","light"
"82626",1984-09-15,"sterling","us","light"
"42779",2011-04-22,"denver (west of)","us","other"
"53254",2013-06-01,"coos bay","us","circle"
"67899",2009-07-31,"lacey","us","light"
"78253",2004-08-30,"englewood","us","sphere"
"83467",2010-09-17,"meadville","us","triangle"
"60518",1999-06-09,"redondo beach","us",""
"80076",1998-08-08,"san leandro","us","chevron"
"31038",2013-02-02,"clarksburg","us","circle"
"44374",2004-04-03,"moorsville","","disk"
"293",2013-10-10,"rittman","us","light"
"3548",2004-10-20,"markham (canada)","ca","light"
"24424",2008-01-23,"windsor","us","light"
"30804",2011-02-21,"pipersville","us","light"
"10410",1998-11-15,"newborough (vic&#44 australia)","","oval"
"45960",2012-05-11,"pacheco pass","","rectangle"
"301",2013-10-10,"warren","us","sphere"
"61553",1996-07-01,"cypress","us","oval"
"2083",1994-10-15,"neah bay","us","sphere"
"82506",1960-09-15,"susanville","us",""
"74947",1979-08-19,"clay city","us","sphere"
"63298",2001-07-15,"new york city (manhattan)","us","light"
"75295",1994-08-20,"napa","us","light"
"57575",2011-06-25,"spanaway","us","light"
"60262",2012-06-07,"masontown","us","light"
"8924",2013-11-11,"port townsend","us","oval"
"65132",2007-07-21,"nashville","us","sphere"
"56826",2013-06-22,"iron mountain","us","light"
"64759",1997-07-20,"buffalo","us","changing"
"80140",2004-08-08,"fargo","us","cigar"
"66750",1998-07-27,"kamloops (canada)","ca","circle"
"74579",2011-08-17,"cannon falls","us","cylinder"
"20261",2000-12-15,"savoonga","us","disk"
"78885",2012-08-03,"eaton rapids","us","disk"
"41491",2002-04-17,"san antonio","us","light"
"73691",1998-08-15,"deshler","us","rectangle"
"5683",2009-10-28,"selah","us",""
"5957",2012-10-29,"woonsocket","us",""
"66841",2006-07-27,"hamilton (bermuda)","","circle"
"71993",1996-08-01,"beaverton","us","disk"
"14701",2007-11-27,"chippewa falls","us","fireball"
"7931",2012-10-08,"attawapiskat (canada)","ca","sphere"
"68471",1997-07-04,"st. charles (outside of st. louis)","us","sphere"
"74457",2001-08-17,"rock river","us","fireball"
"25978",2014-01-27,"tucson","us","other"
"40345",NA,"alberta (canada)","",""
"17356",2004-01-17,"union city","us","changing"
"48461",2004-05-02,"nashville","us","changing"
"48481",2006-05-02,"san jose","us","changing"
"55271",2005-06-17,"trinadad","","changing"
"59677",2006-06-05,"sanders (rural area; 35 miles south of)","us","changing"
"45089",2001-04-07,"milwaukee","us","cigar"
"45362",2011-04-08,"spokane","us","circle"
"27708",2014-01-06,"clinchport","us","cylinder"
"12969",2013-11-20,"tacoma","us","disk"
"71018",2010-07-09,"skykomish (nearest)","us","disk"
"87944",1967-09-06,"beatrice","us","disk"
"28416",2009-02-10,"grover beach","us","egg"
"22098",2012-12-22,"phoenix","us","light"
"26620",2014-01-29,"ahwatukee","us","light"
"30787",2009-02-21,"dallas","us","light"
"44475",2014-04-03,"phoenix","us","light"
"59402",2013-06-03,"crossville","us","light"
"77990",2005-08-29,"gaithersburg","us","light"
"78295",2008-08-30,"platteville","us","light"
"87087",2005-09-30,"tinley park","us","light"
"87088",2005-09-30,"tinley park","us","light"
"6460",2005-10-31,"edison","us","other"
"6639",2013-10-31,"sandy springs","us","other"
"6687",2001-10-03,"bellevue","us","other"
"34974",1993-03-15,"irving","us","other"
"59046",2006-06-30,"mucie","","other"
"65707",2013-07-22,"la grande","us","other"
"2795",2003-10-17,"payson","us","oval"
"48203",2010-05-20,"boonsboro","us","oval"
"52744",1992-06-01,"rosemead","us","oval"
"51086",2003-05-07,"ada","us","rectangle"
"40486",2005-04-13,"spokane","us","sphere"
"60766",1997-07-10,"onalaska","us","sphere"
"80041",1983-08-08,"cassopolis","us","sphere"
"6673",1999-10-03,"seattle","us","teardrop"
"7379",2003-10-06,"annapolis","us","triangle"
"33161",2000-02-08,"canton","us","triangle"
"33863",2011-03-11,"orland","us","triangle"
"59997",2008-06-06,"arlington","us","triangle"
"60362",2004-06-08,"nanaimo&#44 parksville (canada)","","triangle"
"63942",1999-07-17,"sewell","us","triangle"
"63944",1999-07-17,"parma (italy)","","triangle"
"68624",2003-07-04,"merced","us","triangle"
"70871",1994-07-09,"lake perris","","triangle"
"71009",2009-07-09,"colchester","us","triangle"
"71126",1979-08-10,"new londons","","triangle"
"85446",2006-09-23,"winnipeg (canada)","ca","triangle"
"85545",2013-09-23,"denver","us","triangle"
"3628",2008-10-20,"jacksonville","us","unknown"
"4293",2010-10-22,"amherst","us","unknown"
"5577",2003-10-28,"pasadena","us","unknown"
"25718",2003-12-07,"toms river","us","unknown"
"32000",2006-02-27,"terrace (canada)","ca","unknown"
"50737",2008-05-05,"baltimore","us","unknown"
"50743",2008-05-05,"west alton","us","unknown"
"59680",2006-06-05,"fort worth","us","unknown"
"59708",2008-06-05,"victoria (australia)","","unknown"
"70483",2007-07-07,"yardville","us","unknown"
"82538",1970-09-15,"sturgeon","us","unknown"
"20464",1975-12-16,"cranberry ortage (canada)","","disk"
"32769",2011-02-05,"oxford","us","triangle"
"43007",2013-04-23,"london","us","triangle"
"53216",2010-06-01,"rouyn-noranda (canada)","","triangle"
"50862",1995-05-06,"lebanon","us",""
"81477",2005-09-01,"goodlettsville","us","rectangle"
"25148",2008-01-25,"acworth","us","fireball"
"27892",2012-01-07,"aventura","us","fireball"
"49045",2013-05-24,"sandy springs","us","sphere"
"65690",2012-07-22,"timmins (canada)","ca","sphere"
"24049",2011-12-31,"anderson","us","formation"
"31913",2014-02-26,"danbury","us","sphere"
"48201",2010-05-20,"tolland","us","light"
"49515",2009-05-27,"grand junction","us","circle"
"71513",2000-08-11,"frimley (uk/england)","gb","circle"
"9093",2000-11-01,"austin","us","disk"
"30722",2001-02-21,"rogue river","us","disk"
"40679",2007-04-14,"hanover","us","light"
"50896",2002-05-06,"union grove","us","circle"
"34916",1966-03-15,"st joseph","us","light"
"54652",2000-06-15,"sparks","us","light"
"54660",2001-06-15,"vancouver (canada)","ca","light"
"84965",2012-09-02,"london (canada)","ca","light"
"22166",2002-12-23,"fullerton","us","triangle"
"10711",2013-11-15,"des moines","us","light"
"83919",2008-09-19,"williamsburg","us","light"
"3693",2011-10-20,"williams lake (canada)","ca","triangle"
"78066",2010-08-29,"plymouth","us","triangle"
"8078",2009-10-09,"new york","us","circle"
"9096",2000-01-11,"brownell","us",""
"79004",2002-08-04,"northumberland","us",""
"19264",2002-01-21,"kirkland","us","circle"
"79533",2003-08-06,"banff (canada)","ca","cross"
"9667",2007-11-12,"east fishkill","us","flash"
"36964",2001-03-24,"kalamata (greece)","","other"
"42973",2010-04-23,"wollongong (australia)","au","oval"
"14494",2006-11-26,"corinth","us","sphere"
"26679",2004-01-30,"willard","us","sphere"
"33507",1997-03-10,"virginia beach","us","sphere"
"34227",1997-03-12,"black river (canada)","","sphere"
"28625",2013-02-11,"metuchen","us","triangle"
"37741",2000-03-29,"munising","us","triangle"
"16641",2009-01-15,"conyers","us","unknown"
"32724",2007-02-05,"prineville","us","unknown"
"81055",2009-09-11,"chicago","us","changing"
"501",2013-10-11,"cincinnati","us","circle"
"38278",2000-03-03,"derry (republic of ireland)","","diamond"
"49054",1957-05-25,"rhinebeck","us","diamond"
"87121",2006-09-30,"joliet","us","diamond"
"53413",2008-06-12,"campos (brazil)","","disk"
"63436",2005-07-15,"poteau","us","disk"
"33620",2008-03-10,"orlando","us","egg"
"5524",1998-10-28,"spokane (i-90 from mile 238 eastbound&#44 over)","us","fireball"
"15095",2002-11-29,"longview","us","fireball"
"22029",2006-12-22,"delhi (india)","","fireball"
"77908",2013-08-28,"roseville","us","fireball"
"80890",1999-09-11,"grand rapids","us","flash"
"8887",2011-11-11,"duluth","us","formation"
"51484",2010-05-09,"pleasantville","us","light"
"84527",2004-09-21,"state college","us","light"
"47584",2007-05-17,"itasca","us","other"
"81711",1989-09-12,"englewood","us","other"
"41692",2004-04-18,"fernie (canada)","ca","unknown"
"57052",2011-06-23,"lakewood/dupont (between)","","unknown"
"32656",1995-02-05,"greensville","",""
"8790",2003-11-11,"hawks","us","changing"
"45752",2007-05-10,"boulder","us","circle"
"2615",2007-10-16,"southbridge","us","disk"
"10613",2008-11-15,"bellefontaine","us","disk"
"19548",2014-01-21,"clermont","us","disk"
"60173",2005-06-07,"shoreham-by-sea (uk/england)","gb","disk"
"61355",1973-07-01,"macon","us","disk"
"61361",NA,"dobson","","disk"
"7485",2011-10-06,"lagrange","","fireball"
